Time_taken, Dev_set_loss, Train_set_loss, Train_loss, Context_length, Embedding_dim, Hidden_neurons
2.96 seconds, 2.651247978210449, 2.65556263923645, 3.2218103408813477, 5, 2, 300
3.18 seconds, 2.7120583057403564, 2.7292299270629883, 2.67413592338562, 5, 2, 350
3.39 seconds, 2.6284353733062744, 2.6299262046813965, 2.6211142539978027, 5, 2, 400
3.62 seconds, 2.622606039047241, 2.62265682220459, 2.8654541969299316, 5, 2, 450
3.88 seconds, 2.6033945083618164, 2.6045215129852295, 2.250593900680542, 5, 2, 500
4.01 seconds, 2.710355758666992, 2.718480348587036, 2.6207094192504883, 5, 3, 50
4.14 seconds, 2.6771624088287354, 2.673837900161743, 3.0080583095550537, 5, 3, 100
4.29 seconds, 2.6313087940216064, 2.6377079486846924, 3.2024929523468018, 5, 3, 150
4.44 seconds, 2.648212432861328, 2.6564595699310303, 2.5179452896118164, 5, 3, 200
4.62 seconds, 2.655916452407837, 2.6654367446899414, 2.205592632293701, 5, 3, 250
4.81 seconds, 2.689969539642334, 2.687412738800049, 2.25838041305542, 5, 3, 300
5.05 seconds, 2.6691524982452393, 2.682622194290161, 2.1944501399993896, 5, 3, 350
5.26 seconds, 2.5263595581054688, 2.5383923053741455, 2.4624834060668945, 5, 3, 400
5.49 seconds, 2.782146692276001, 2.796355724334717, 2.535353183746338, 5, 3, 450
5.74 seconds, 2.6343817710876465, 2.648660659790039, 2.5502874851226807, 5, 3, 500
5.86 seconds, 2.7671685218811035, 2.770230531692505, 2.9218549728393555, 5, 4, 50
5.99 seconds, 2.737670421600342, 2.7311768531799316, 2.9279980659484863, 5, 4, 100
6.14 seconds, 2.7232956886291504, 2.7312779426574707, 2.5978941917419434, 5, 4, 150
6.30 seconds, 2.755439519882202, 2.747647762298584, 2.8474321365356445, 5, 4, 200
6.47 seconds, 2.637911081314087, 2.638622522354126, 2.1521809101104736, 5, 4, 250
6.66 seconds, 2.6740942001342773, 2.676140785217285, 2.652385711669922, 5, 4, 300
6.86 seconds, 2.7988979816436768, 2.8098745346069336, 2.559962272644043, 5, 4, 350
7.08 seconds, 3.2727246284484863, 3.263474941253662, 2.7613425254821777, 5, 4, 400
7.40 seconds, 2.8934781551361084, 2.898261070251465, 2.3445065021514893, 5, 4, 450
7.66 seconds, 2.8507063388824463, 2.842529058456421, 2.6136200428009033, 5, 4, 500
7.79 seconds, 2.905094861984253, 2.937739610671997, 3.087341785430908, 5, 5, 50
7.92 seconds, 3.0991220474243164, 3.1115918159484863, 3.591090440750122, 5, 5, 100
8.07 seconds, 2.78165602684021, 2.7912046909332275, 2.5474019050598145, 5, 5, 150
8.23 seconds, 3.011618137359619, 3.008878231048584, 3.062069892883301, 5, 5, 200
8.41 seconds, 2.8783774375915527, 2.8887598514556885, 2.5914149284362793, 5, 5, 250
8.60 seconds, 2.9738497734069824, 2.9622275829315186, 2.5578160285949707, 5, 5, 300
8.80 seconds, 2.97908878326416, 2.9769747257232666, 3.0477049350738525, 5, 5, 350
